SiteID,Ts,NOx,NO2,NO,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Location,Lat,Long
271,1084525200,65.4,36.11,19.1,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084550400,46.07,30.72,10.0,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084582800,37.96,31.71,4.08,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084597200,45.75,17.45,18.45,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084654800,70.61,45.59,16.31,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084723200,27.34,8.05,12.58,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084752000,56.02,41.27,9.62,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084759200,28.62,21.9,4.38,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084791600,29.92,19.55,6.76,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084838400,33.61,24.69,5.82,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084842000,14.42,8.34,3.96,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084856400,84.41,35.52,31.87,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084863600,86.36,36.36,32.6,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084892400,55.71,33.38,14.56,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084903200,29.4,14.9,9.45,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084914000,32.74,27.35,3.51,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084921200,24.57,20.1,2.92,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084968000,23.98,15.71,5.4,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084978800,42.2,24.11,11.79,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1084993200,35.87,26.1,6.37,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085097600,20.0,18.92,0.71,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085130000,31.0,17.92,8.52,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085137200,28.22,18.12,6.59,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085155200,28.14,17.82,6.73,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085176800,43.79,39.26,2.95,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085205600,25.65,20.07,3.64,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085220000,19.94,13.59,4.14,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085223600,17.33,12.06,3.44,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085230800,11.14,8.38,1.8,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085284800,31.38,27.55,2.5,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085349600,75.46,70.41,3.3,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085360400,34.43,30.83,2.35,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085364000,37.27,31.36,3.85,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085367600,28.51,26.35,1.41,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085385600,93.96,53.86,26.15,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085403600,61.62,42.31,12.59,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085421600,42.12,29.77,8.05,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085454000,17.21,16.18,0.68,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085486400,26.72,19.07,4.99,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085511600,30.09,24.54,3.61,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085529600,48.71,40.92,5.08,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085554800,118.59,36.25,53.69,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085576400,52.03,31.11,13.64,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085601600,24.71,22.82,1.23,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085619600,31.86,30.21,1.08,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085634000,35.76,30.45,3.46,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085637600,46.83,34.69,7.91,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085648400,56.72,35.51,13.83,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085659200,26.64,18.85,5.08,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085673600,34.01,25.02,5.87,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085688000,19.74,19.72,0.01,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085893200,9.48,9.05,0.28,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085904000,9.21,6.96,1.47,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1085986800,10.2,7.77,1.58,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086058800,6.12,5.61,0.33,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086152400,73.35,30.5,27.94,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
